0;0,2;0;0,62;0;1,2;0;0,62
1,01;2,54;1,01;4,3;1,01;3,72;1,01;2,06
2,03;3,83;2,03;7,02;2,03;6,06;2,03;3,11
3,02;4,35;3,01;8,37;3,01;6,7;3,01;3,45
4;4,59;4;9,16;4;7,5;4;3,58
5,03;4,68;5,03;9,66;5,03;7,6;5,03;3,63
6,01;4,84;6,01;10;6,01;7,88;6;3,64
7,03;4,86;7,03;10,3;7,03;7,9;7,02;3,65
0;0,2;0;0,62;8,02;8,01;8,01;3,67
-0,06;0,1;-0,11;0,31;0;1,2;0;0,62
-0,11;0,05;-0,18;0,16;-0,28;0,6;-0,26;0,31
-0,12;0,03;-0,23;0,08;-0,47;0,3;-0,43;0,16
-0,14;0,01;-0,25;0,04;-0,57;0,15;-0,53;0,08
-0,15;0;-0,26;0,02;-0,63;0,08;-0,57;0,04
;;-0,27;0,01;-0,67;0,04;-0,6;0,02
;;-0,28;0;-0,69;0,02;-0,61;0,01
;;;;-0,71;0,01;-0,63;0
;;;;-0,72;0;;
